in_src,out_src,in_dst,out_dst,distance
53,94,70,140,4
79,78,2347,131,4
58,81,30,89,4
339,183,91,105,3
124,155,101,131,4
59,148,59,81,4
1,105,70,125,5
21,126,45,92,3
74,88,236,92,4
209,281,144,144,3
244,106,43,150,3
80,137,7,174,5
3,104,32,170,4
102,173,9,143,3
138,88,69,103,4
42,97,26,198,4
34,201,12,81,4
21,85,184,184,4
121,88,122,90,4
40,83,65,261,4
98,141,2087,367,3
19,80,94,151,4
141,237,502,179,3
23,88,77,109,4
6,297,692,227,3
106,132,53,218,4
11,219,36,85,5
15,120,104,146,3
316,97,53,92,3
169,91,165,104,4
33,90,93,132,4
478,178,309,148,4
69,80,9,142,5
2427,262,33,312,5
18,127,49,121,4
16,117,75,129,4
46,121,139,84,4
21,133,3,108,4
64,78,79,138,3
141,231,37,174,4
67,157,200,118,3
54,92,476,282,4
7,212,4,209,4
113,188,19,79,5
95,149,59,161,4
43,82,6,89,6
78,77,43,97,4
296,201,67,129,3
3,710,87,114,3
40,83,179,105,3
5,333,85,85,4
68,123,31,91,5
1,191,11,200,4
60,84,3,159,4
253,119,74,122,3
27,96,12,614,5
0,687,366,343,3
101,106,9,435,5
213,141,23,141,4
34,100,285,154,4
993,239,2919,159,2
7,81,101,97,5
54,77,79,92,4
3,145,4,108,6
3682,87,4,230,5
43,79,535,125,3
9,109,1914,322,3
62,97,59,144,4
46,89,320,140,4
186,284,1,166,5
3,82,425,139,3
103,113,86,85,3
24,94,473,634,4
40,86,735,358,3
3816,102,86,81,4
84,122,40,126,3
17,289,363,131,4
61,101,44,79,3
2,155,58,83,3
601,235,252,96,3
4,168,315,172,3
10,108,24,88,4
15,83,94,158,3
22,178,20,95,4
51,77,55,84,4
319,246,55,86,4
77,93,56,104,4
4,105,57,442,3
5480,92,28,90,4
1084,532,136,326,4
6,100,56,113,4
177,139,119,110,4
89,113,42,79,4
56,489,56,109,5
162,137,104,98,4
64,145,117,160,4
43,100,291,109,4
33,83,123,129,4
1,113,28,118,4
1654,106,54,84,4
5,292,32,99,4
116,191,26,285,3
46,80,50,114,4
65,172,229,197,4
45,86,148,105,3
21,193,254,102,3
85,178,21,120,4
134,185,63,80,4
40,122,38,81,4
312,278,250,392,4
78,124,108,100,3
10,83,13,102,4
3,87,11,85,4
115,101,88,140,3
270,101,59,100,4
99,109,26,90,4
30,195,360,98,3
18,78,538,122,4
198,85,317,81,3
247,155,911,216,4
33,85,49,100,4
17,89,27,85,4
23,88,50,142,4
11,86,63,138,3
153,179,90,79,4
9,79,33,93,4
158,98,320,188,3
40,105,119,182,4
10,85,23,106,3
16,103,193,146,3
7,265,44,83,4
59,92,40,219,4
3,98,121,105,4
167,118,28,86,4
277,281,2286,229,3
5,387,6,105,3
64,99,119,102,3
60,104,38,109,4
2522,79,105,94,4
19180,839,110,86,4
36,164,69,158,4
5,300,4,115,4
19,108,87,92,4
15,446,95,106,3
338,165,335,116,2
557,110,18,77,4
55,184,87,113,4
164,120,304,272,4
178,88,31,97,3
27,115,146,103,3
77,131,159,400,3
64,93,57,97,4
8,98,250,129,3
535,158,6,93,4
47,127,452,184,4
1,190,301,102,4
5,429,41,139,4
81,126,14,120,4
237,145,39,77,4
16,78,111,111,3
17,151,50,134,4
52,79,160,178,4
80,113,455,99,3
18,98,22,140,4
133,116,41,86,4
29,184,69,96,4
153,158,76,77,4
15,83,50,79,3
4,97,114,142,4
32,90,214,81,4
374,161,89,98,4
111,226,21,88,4
42,79,19,110,4
3,89,197,336,3
100,140,39,102,4
19,123,345,416,3
294,156,7463,401,3
40,81,164,199,4
48,103,136,92,4
314,191,29,88,4
32,203,24,84,4
31,80,31,175,4
112,121,119,82,3
91,90,336,218,4
192,177,131,191,4
4,87,19,89,4
42,108,85,138,4
138,84,77,192,4
90,127,39,137,4
28,88,105,123,4
450,88,1828,543,3
319,134,49,98,2
104,87,135,183,4
145,84,560,115,3
35,336,41,138,4
427,109,43,122,4
20,185,12,91,4
71,108,91,83,4
43,102,9,905,4
32,136,105,104,4
143,179,795,298,3
6,93,142,250,4
