src,in_src,out_src,dst,in_dst,out_dst,bound,runtime,profit
94573,217,176,3669170,47,85,2,2039,0.0
326530,102,84,5405103,19,92,4,800,2.84
1472094,37,78,27093589,78,153,3,575,0.07
5928668,10,94,13749631,7,77,1,7,1.16
15837279,26,186,567081,48,78,2,17,1.07
5040558,318,83,440153,67,107,3,644,0.93
2323831,10,117,3253496,92,88,3,505,1.58
2724404,46,138,218181,626,264,1,4,1.29
56751104,0,298,1046923,194,198,3,206,1.1
91003,168,125,1073955,87,85,4,1361,1.94
32293078,14,109,261058,412,100,2,13,0.9
44382466,253,145,4775582,28,79,4,1408,1.54
63893776,4,546,17902,757,280,3,2126,0.75
497016,15,404,714482,186,239,1,9,0.6
62323228,7,97,27581496,21,81,3,118,1.85
134849,128,101,2184917,598,103,4,2726,2.48
23923529,59,164,61231471,0,158,2,13,2.02
57274079,19,101,160158,395,153,2,11,2.21
2799259,8,86,4298472,22,84,2,8,2.22
178040,84,101,37865847,50,115,3,254,0.04
249828,458,88,11280968,2,93,4,403,0.98
1487543,96,83,26110619,3,97,4,59,0.61
41356585,10,77,12008600,22,106,3,137,1.58
3228029,67,103,65184156,1,90,1,5,0.08
1652930,52,79,53170,309,136,2,13,2.03
133441,91,95,22477488,18,87,4,523,0.08
42497990,23,125,13491469,61,91,1,5,1.81
863874,1083,202,59744825,25,80,2,8,0.25
52137268,1,108,527004,157,119,1,4,0.04
15020822,5,267,1779738,201,155,1,8,0.97
29092603,80,81,70847,106,99,4,871,0.67
46809599,1,216,26552494,33,167,3,169,0.2
25972775,64,244,4283186,109,172,2,10,1.69
29812,11176,580,16460098,30,429,4,3115,0.82
22110918,24,106,1226510,249,410,3,522,1.12
2238232,361,243,28202495,65,145,4,1507,1.5
14021348,7,89,351004,456,107,2,10,0.35
14880576,2,170,817438,84,380,4,1267,2.92
789156,195,153,27992,3965,694,4,19142,1.69
291505,106,300,3926606,125,147,2,10,0.84
19862,12,89,34277845,14,105,1,3,1.43
56083124,4,488,10778863,10,211,1,4,1.16
39720354,166,147,4790161,79,88,3,332,0.93
1525923,24,100,65913544,6,260,2,7,1.04
34931751,7,135,189912,152,82,3,572,1.55
9309632,44,82,54302264,18,91,2,8,3.15
2317925,75,80,37035628,37,132,1,4,0.18
60670219,36,106,432936,340,389,4,2657,1.13
867243,1625,330,43612992,128,83,2,10,0.76
916883,473,187,29142,264,198,1,5,0.16
3283035,109,113,25464978,43,92,3,159,2.77
36881822,3,230,409570,586,156,3,928,0.23
41380379,80,284,31944331,44,80,3,237,1.84
13789487,51,116,34173640,130,142,2,9,0.11
804883,73,79,941491,71,148,2,8,0.08
1545779,202,115,5645691,18,93,2,8,0.32
801376,111,83,20553310,10,234,2,7,2.57
25436594,45,84,22104615,16,83,4,467,1.14
51680277,12,1321,8434690,138,97,1,9,0.17
681800,37,151,333365,356,182,2,9,0.93
44750526,24,124,925384,162,172,4,886,1.32
17749598,15,201,42947658,4,167,2,9,2.02
142743,360,107,7882712,37,80,4,613,1.21
5865287,5,316,58347498,1,99,1,4,1.12
698391,80,101,43856971,52,97,2,8,0.36
27368924,9,250,11720467,13,397,4,758,1.66
256745,53,78,15234320,42,91,3,168,1.95
413031,306,144,1428251,44,85,4,777,0.99
1026286,396,298,1650533,115,133,2,10,1.05
44548699,64,101,46435,249,330,4,1444,0.15
3372744,88,82,2485801,18,90,2,7,0.92
61778512,13,81,355043,20,87,4,503,0.28
8062200,24,135,5585911,33,98,2,8,0.53
28789195,1,130,397525,140,398,2,8,0.13
586652,12,101,39293205,13,124,2,8,1.62
54741,894,295,832492,227,131,1,5,0.99
803101,193,85,30455725,8,79,2,7,1.25
627415,114,87,1646469,431,146,4,2024,0.2
